履歴を	表示
AIが	脅かす
従来の	革命的技術と
革命的技術と	違って
違って	脅かす
人間の	至高性を
至高性を	脅かす
脅かす	可能性も
可能性も	ある
ある	17]。前掲書の
[	17]。前掲書の
17]。前掲書の	結論は
結論は	[17]。
次の	文で
文で	締めくくられた
締めくくられた	[17]。
結論として	発達したが
AIは	発達したが
その	歴史の
短い	歴史の
歴史の	中で
中で	発達したが
大いに	発達したが
発達したが	有効である
アランチューリングの	知能
計算機械と	知能
知能	1950年という
1950年という	小論の
小論の	最後の
最後の	文は
文は	有効である
今も	有効である
有効である	つまり
われわれは	分からないが
少し	先までしか
先までしか	分からないが
分からないが	分かる
多くの	ことが
やるべき	ことが
ことが	残っているのは
残っているのは	分かる
分かる	17][注釈4]。
[	17][注釈4]。
2024年の	人工知能の
人工知能の	展望については
展望については	重要になる
[	137]、従来の
137]、従来の	人工知能は
人工知能は	得意であるが
ビッグデータの	課題[
単純明快な	課題[
課題[	138][139]から
138][139]から	学習して
学習して	解決する
複雑な	課題を
課題を	解決する
解決する	ことは
ことは	得意であるが
得意であるが	苦手なので
[	140]、新しい
140]、新しい	未知の
未知の	種類の
種類の	データや
データや	課題は
学習データの	少ない
少ない	課題は
複雑な	課題は
課題は	苦手なので
苦手なので	重要になる
[	138][139]、2024年は
138][139]、2024年は	重要になる
学習データの	少ない
少ない	人工知能の
人工知能の	開発が
開発が	重要になる
重要になる	予想される
人間の	欲求や
基本的な	欲求や
欲求や	理解に
宇宙の	理解に
理解に	取り組む
取り組む	人工知能は
人工知能は	予想される
特に	少ない
学習データが	少ない
少ない	状況に
状況に	対応する
対応する	ことが
ことが	予想される
予想される	期待される
人工知能開発ツールの	自動化
自動化	透明化
人工知能の	基盤モデルの
基盤モデルの	透明化
透明化	成功も
話題の	映像自動生成人工知能の
映像自動生成人工知能の	成功も
成功も	期待される
期待される	[137]。
また	[137]。
学習言語データは	[137]。
英語と	西欧言語が
西欧言語が	中心である
中心である	ため
ため	[137]。
人工知能格差の	拡大を
拡大を	防ぐ
防ぐ	ために
ために	広がっている
それら以外の	学習データにも
学習データにも	取り組む
取り組む	動きが
動きが	広がっている
世界的に	広がっている
広がっている	[137]。
人工知能には	ある
潜在的な	利点と
利点と	潜在的な
潜在的な	リスクが
リスクが	ある
ある	ある
人工知能は	進歩させ
科学を	進歩させ
進歩させ	繋がる
深刻な	問題の
問題の	解決策に
解決策に	繋がる
繋がる	可能性が
可能性が	ある
ある	141]。しか
[	141]。しか
141]。しか	し
し	広まるにつれて
人工知能の	使用が
使用が	広まるにつれて
広まるにつれて	ある
いくつかの	意図しない
意図しない	結果と
結果と	リスクの
リスクの	存在が
存在が	明らかになった
明らかになった	システムにおいては
[142]。実運用の	システムにおいては
システムにおいては	ある
人工知能の	訓練過程において
訓練過程において	考慮されない
倫理と	バイアスが
バイアスが	考慮されない
考慮されない	ことが
ことが	ある
ある	[143]。
特に	説明可能でない
深層学習の	分野で
分野で	説明可能でない
人工知能の	アルゴリズムが
アルゴリズムが	説明可能でない
本質的に	説明可能でない
説明可能でない	場合に
場合に	当てはまる
当てはまる	[143]。
第1次ブームで	登場した
登場した	第2次ブームで
探索と	推論や
推論や	第2次ブームで
第2次ブームで	登場した
登場した	知識表現という
知識表現という	パラダイムに
パラダイムに	基づく
基づく	AIは
AIは	扱えなかった
各々	比して
現実世界と	比して
比して	扱えなかった
単純な	問題しか
問題しか	扱えなかった
扱えなかった	ため
ため	持つ
社会的には	持つ
大きな	影響力を
影響力を	持つ
持つ	ことは
ことは	[146]。
なかった	[
[	144][145]が
144][145]が	登場してから
第3次以降の	ブームでは
ブームでは	登場してから
高性能な	AIが
AIが	登場してから
登場してから	[146]。
AI脅威論や	AIとの
AIとの	共生方法等も
共生方法等も	議論されるようになった
議論されるようになった	[146]。
スチュアートラッセルらの	計算機科学書
計算機科学書	エージェントアプローチ人工知能
エージェントアプローチ人工知能	2022年版は
2022年版は	説得
人工知能の	リスクとして
主な	リスクとして
リスクとして	説得
致死性自律兵器	監視と
監視と	説得
説得	意思決定
偏った	意思決定
意思決定	影響
雇用への	影響
影響	左右するような
セーフティクリティカル	左右するような
安全を	左右するような
左右するような	応用
応用	サイバーセキュリティを
サイバーセキュリティを	挙げている
挙げている	[147]。また
[147]。また	ネイチャーで
ラッセルらは	ネイチャーで
ネイチャーで	149][150]。
人工知能による	生物の
生物の	繁栄と
繁栄と	可能性[
自滅の	可能性[
可能性[	倫理的課題についても
148]や	倫理的課題についても
倫理的課題についても	論じている
論じている	[
[	149][150]。
プライバシーと	著作権
機械学習には	必要である
大量の	データが
データが	必要である
必要である	引き起こしている
この	データを
データを	取得する
取得する	ために
ために	使用される
使用される	手法は
手法は	引き起こしている
プライバシー	監視
監視	著作権に関する
著作権に関する	懸念を
懸念を	引き起こしている
テクノロジー企業は	[153]。
オンラインアクティビティ	位置情報データ
位置情報データ	動画
動画	音声など
音声など	ユーザーから
ユーザーから	収集している
幅広い	データを
データを	収集している
収集している	[151]。たとえば
[151]。たとえば	[153]。
音声認識アルゴリズムを	構築する
構築する	ために
ために	[153]。
Amazonは	[153]。
何百万もの	会話を
プライベートな	会話を
会話を	録音し
録音し	書き起こす
一時	書き起こす
雇用の	労働者に
労働者に	書き起こす
その	内容を
内容を	書き起こす
書き起こす	ことを
ことを	許可した
許可した	監視に対する
[152]。この	監視に対する
広範な	監視に対する
監視に対する	意見は
意見は	[153]。
必要悪と	見なす
見なす	人から
人から	考える
明らかに	非倫理的で
非倫理的で	侵害であると
プライバシー権の	侵害であると
侵害であると	考える
考える	者まで
者まで	分かれている
分かれている	[153]。
AI開発者は	主張している
この	手法が
手法が	主張している
価値の	ある
ある	アプリケーションを
アプリケーションを	提供する
提供する	方法であると
唯一の	方法であると
方法であると	主張している
主張している	見始めている
そして	見始めている
データアグリゲーション	取得しながら
英語版	非識別化
非識別化	英語版
英語版	差分プライバシー
差分プライバシー	英語版など
英語版など	データを
データを	取得しながら
取得しながら	保護する
プライバシーを	保護する
保護する	いくつかの
いくつかの	手法が
手法が	開発された
開発された	[
[	154]。2016年以降
154]。2016年以降	見始めている
シンシア・ドワーク	英語版などの
英語版などの	一部の
一部の	プライバシー専門家は
プライバシー専門家は	見始めている
プライバシーを	見始めている
公平性の	観点から
観点から	見始めている
見始めている	[155]。
ブライアンクリスチャン	英語版は
英語版は	[155]。
専門家は	[155]。
何を	知っているかという
知っているかという	問題から
問題から	移したと
それを	使って
使って	しているかという
何を	しているかという
しているかという	問題に
問題に	移したと
軸足を	移したと
移したと	書いている
書いている	[155]。
ChatGPTのような	チャットボットに
チャットボットに	吐露する
ユーザーが	吐露する
個人的な	悩みを
生活や	悩みを
悩みを	吐露する
吐露する	ことの
ことの	危険性が
危険性が	指摘されている
指摘されている	[156]。
今までも	あり
テック企業は	あり
ユーザーの	個人情報を
個人情報を	収集して
収集して	利用した
悪質な	ターゲティング広告に
ターゲティング広告に	利用した
利用した	前科が
前科が	あり
あり	[156]。
さらに	詳細な
詳細な	ユーザーの
ユーザーの	追跡が
追跡が	可能になる
可能になる	生成AIは
生成AIは	[156]。
有害な	コンテンツの
コンテンツの	最適化に
最適化に	繋がりかねず
繋がりかねず	ある
AIとの	交流に
交流に	没頭して
没頭して	至った
自殺に	至った
至った	事例が
事例が	ある
ある	[156]。
政府機関での	AI利用に対しては
AI利用に対しては	指摘されている
国家機密の	流出や
流出や	リスクが
その他の	リスクが
リスクが	指摘されている
指摘されている	[156]。
送信された	データは
データは	保存されるが
事業者の	サーバに
サーバに	保存されるが
保存されるが	[156]。
敵対国の	工作員が
工作員が	潜入する
企業に	潜入する
潜入する	可能性は
可能性は	否定できず
否定できず	[156]。
データを	盗み取る
盗み取る	スパイ行為や
スパイ行為や	リスクが
出力結果を	操作して
操作して	及ぼす
政府の	政策等に
政策等に	及ぼす
悪影響を	及ぼす
及ぼす	リスクが
リスクが	ある
ある	[156]。
生成AIは	使用される
画像や	ソースコードなどの
ソースコードなどの	領域を
領域を	含む
含む	取得せずに
ライセンスを	取得せずに
取得せずに	保護された
著作権で	保護された
保護された	作品で
作品で	トレーニングされる
トレーニングされる	ことが
ことが	多く
多く	使用される
その	出力は
出力は	使用される
フェアユースの	法理を
法理を	使用される
根拠に	使用される
使用される	分かれている
専門家の	間では
間では	分かれている
この	論理が
論理が	通用するかについて
法廷で	通用するかについて
どの	程度
程度	通用するかについて
どのような	状況で
状況で	通用するかについて
通用するかについて	分かれている
意見が	分かれている
分かれている	[159]。
関連する	法理には
法理には	含まれる
著作権で	保護された
保護された	作品の
作品の	使用目的と
使用目的と	性質や
性質や	影響が
著作権で	保護された
保護された	作品の
作品の	潜在的市場への
潜在的市場への	影響が
影響が	含まれる
含まれる	可能性が
可能性が	ある
ある	157][158]。コンテンツが
[	157][158]。コンテンツが
157][158]。コンテンツが	スクレイピングされる
スクレイピングされる	ことを
ことを	望まない
望まない	ウェブサイトの
ウェブサイトの	所有者は
所有者は	[159]。
robots.txtファイルで	示す
その	旨を
旨を	示す
示す	ことが
ことが	できる
できる	[159]。
作家の	サラシルバーマン
サラシルバーマン	マシュー・バターリック
マシュー・バターリック	ポールトレンビィ
ポールトレンビィ	モナ・アワドらは
モナ・アワドらは	[165]。
OpenAIを	訴えた
著作権侵害で	訴えた
訴えた	[
[	160][161][162]。2023年
160][161][162]。2023年	9月には
9月には	[165]。
ジョージRRマーティン	ジョングリシャム
ジョングリシャム	ジョディ・ピクルト
ジョディ・ピクルト	ジョナサンフランゼンを
ジョナサンフランゼンを	含む
含む	17人の
17人の	著者が
著者が	加わった
原告に	加わった
加わった	大手新聞社ニューヨーク・タイムズも
[	163][164]。アメリカの
163][164]。アメリカの	大手新聞社ニューヨーク・タイムズも
大手新聞社ニューヨーク・タイムズも	[165]。
2023年	12月
12月	下旬に
下旬に	提訴した
同社を	提訴した
提訴した	[165]。
2024年	3月の
3月の	G
G	7産業技術デジタル大臣会合の
7産業技術デジタル大臣会合の	閣僚宣言において
閣僚宣言において	[167]。
生成AIの	訓練は
訓練は	依存しており
知識	アート
アート	文章
文章	アイディア等の
アイディア等の	人間の
人間の	創作物に
創作物に	依存しており
強く	依存しており
依存しており	[167]。
生成AIは	[167]。
十分な	補償が
補償が	ないまま
ないまま	抑圧する
人間による	技術革新を
創造力と	技術革新を
技術革新を	抑圧する
抑圧する	形で
形で	侵害する
利益を	侵害する
侵害する	可能性が
可能性が	明言されている
明言されている	[166]。また
[166]。また	[167]。
訓練データに関する	同意モデルの
補償と	同意モデルの
同意モデルの	構築を
構築を	確実にする
確実にする	ことにより
ことにより	促す
信頼可能で	素材に対する
安全かつ	安心な
安心な	AIシステムを
AIシステムを	訓練する
訓練する	ための
ための	素材に対する
素材に対する	創出を
投資と	創出を
創出を	促す
促す	可能性についても
可能性についても	言及している
言及している	[167]。
2025年	2月
2月	出された
AI企業による	著作物の
著作物の	無許諾利用を
無許諾利用を	巡る
巡る	著作権侵害訴訟で
著作権侵害訴訟で	出された
フェアユースを	認めず
認めず	認定する
著作権侵害を	認定する
認定する	判決が
判決が	出された
出された	ものであった
これは	ものであった
トムソンロイターの	子会社が
子会社が	運営する
運営する	法律関連の
法律関連の	プラットフォームに
プラットフォームに	掲載された
掲載された	著作物を
著作物を	利用した
AI企業が	スクレイピングして
モデルの	訓練目的で
訓練目的で	スクレイピングして
スクレイピングして	利用した
利用した	ことを
ことを	訴えた
訴えた	ものであった
ものであった	[168]。
連邦地方裁の	判決では
判決では	[168]。
フェアユースの	4つの
4つの	要素の
要素の	うち
うち	認め
2つで	認め
侵害を	認め
認め	重視した
特に	4つ
4つ	目の
目の	影響を
著作物の	潜在的利用又は
潜在的利用又は	影響を
価値に対する	利用の
利用の	及ぼす
及ぼす	影響を
影響を	重視した
重視した	[168]。
AI企業が	いたことそして
学習元の	競合製品の
競合製品の	開発を
開発を	目的として
目的として	いたことそして
いたことそして	[168]。
少なくとも	[168]。
1つの	派生市場として
潜在的な	派生市場として
派生市場として	[168]。
AIを	訓練する
訓練する	ための
ための	データ市場を
データ市場を	挙げ
挙げ	明言している
人工知能の	訓練データの
訓練データの	潜在的市場への
潜在的市場への	影響は
影響は	十分である
十分である	負う
被告は	負う
立証責任を	負う
負う	提示されていないと
これらの	市場が
市場が	存在せず
存在せず	受けない
原告が影響を	受けない
受けない	ことを
ことを	示す
示す	事実は
十分な	事実は
事実は	提示されていないと
提示されていないと	明言している
明言している	[168]。
1つ	目の
目の	性格については
利用の	目的と
目的と	性格については
性格については	認定した
AI企業による	利用は
利用は	商業的であり
本質的に	商業的であり
商業的であり	認定した
トムソンロイターの	目的とは
本来の	目的とは
目的とは	なかった
別の	性質が
さらなる	性質が
目的や	性質が
性質が	なかった
なかった	ため
ため	認定した
変容的ではないと	認定した
認定した	[169]。
裁判所はまた	ことであり
AI企業の	意図した
意図した	目的は
目的は	ことであり
トムソンロイターと	市場で
市場で	競合する
競合する	ことであり
ことであり	[169]。
ゆえに	与えると
著作権者の	元の
元の	市場に
市場に	与えると
影響を	与えると
与えると	判断した
判断した	[169]。
この	判決は
判決は	[170]。
無許諾で	利用する
著作物を	利用する
訓練データとして	利用する
利用する	ことへの
ことへの	フェアユースの
フェアユースの	成立を
成立を	難しくする
難しくする	ものと
ものと	され
され	考えられている
生成AI事業者を	含め
含め	ものであると
他の	AI企業にとっても
AI企業にとっても	ものであると
打撃に	なる
なる	ものであると
ものであると	考えられている
考えられている	[170]。
2025年	10月に
10月に	リリースされた
リリースされた	動画生成AIの
動画生成AIの	Sora2で
Sora2で	生成された
ポケットモンスターなど	著名作品に
著名作品に	酷似した
酷似した	動画が
動画が	生成された
生成された	ことについて
ことについて	[171]。
スタジオジブリ	小学館
小学館	講談社
講談社	集英社
集英社	KADOKAWA
KADOKAWA	東映や
東映や	民放各社などが
民放各社などが	加盟する
加盟する	コンテンツ海外流通促進機構
コンテンツ海外流通促進機構	CODAは
CODAは	[171]。
合同で	抗議する
無断学習に	抗議する
抗議する	声明を
声明を	提出した
開発元の	OpenAIに
OpenAIに	提出した
提出した	[171]。
主に	対応する
コンテンツを	しない
無許諾で	しない
学習対象と	しない
しない	こと
こと	対応する
生成物に	関連する
関連する	著作権侵害についての
著作権侵害についての	申立て相談に
申立て相談に	対応する
真摯に	対応する
対応する	ことなどを
ことなどを	求めた
求めた	[172]。CODAは
[172]。CODAは	[171]。
日本の	コンテンツを
コンテンツを	取り込んだ
学習データとして	取り込んだ
取り込んだ	ことにより
ことにより	生成されているとして
キャラクターが	生成されているとして
生成されているとして	複製しており
学習の	過程で
過程で	複製しており
著作物を	複製しており
複製しており	該当し得ると
著作権侵害に	該当し得ると
該当し得ると	指摘している
指摘している	[171]。
ゲイリーマーカスは	[156]。
取り込んだ	内容を
内容を	吐き出すだけの
常習的に	吐き出すだけの
ほぼ	吐き出すだけの
吐き出すだけの	生成AIは
生成AIは	[156]。
新たな	形での
形での	盗用であり
盗用であり	[156]。
歴史的に	見ても
見ても	対応する
それに	対応する
対応する	ための
ための	法規制が
新たな	法規制が
法規制が	必要であると
必要であると	している
している	[156]。
推進派の	詭弁として
詭弁として	学んでおり
人間も	学んでおり
過去の	作品から
作品から	学んでおり
学んでおり	おかしいという
機械にだけ	禁止する
禁止する	ことは
ことは	おかしいという
おかしいという	ものが
ものが	ある
ある	存在しなかった
しかし	存在しなかった
著作権は	ものであり
技術の	発展に
発展に	伴って
伴って	生じた
生じた	ものであり
ものであり	存在しなかった
15世紀に	発明され
活版印刷が	発明され
発明され	存在しなかった
普及する	前には
前には	存在しなかった
存在しなかった	[156]。
当時でも	複製する
写本の	形式で
形式で	複製する
本を	複製する
複製する	ことは
ことは	できたが
できたが	[156]。
新技術により	量産され
印刷業者により	量産され
本の	コピーが
コピーが	量産され
量産され	損なわれるのを
作家の	権利が
権利が	損なわれるのを
過度に	損なわれるのを
損なわれるのを	防ぐ
防ぐ	ために
ために	設けられた
設けられた	[156]。
AI企業の	無断データ利用に対しては
無断データ利用に対しては	必要であり
著作物や	肖像を
肖像を	する
始めと	する
する	個人データの
個人データの	無許諾利用を
無許諾利用を	規制する
規制する	法整備が
法整備が	必要であり
必要であり	求められるべきであり
それには	求められるべきであり
事後の	許可ではなく
許可ではなく	求められるべきであり
事前の	同意が
同意が	求められるべきであり
求められるべきであり	[156]。
データ利用の	目的と
目的と	範囲を
範囲を	伝えられた
伝えられた	上であるべきと
上であるべきと	している
している	[156]。
誤	情報
YouTubeや	Facebookなどは
Facebookなどは	使用している
ユーザーを	誘導する
コンテンツに	誘導する
誘導する	ために
ために	使用している
レコメンダシステムを	使用している
使用している	ことだった
その	人工知能プログラムには
人工知能プログラムには	ことだった
ユーザーエンゲージメントを	最適化するという
最適化するという	目標が
目標が	与えられた
与えられた	ことだった
つまり	ことだった
唯一の	目標は
目標は	視聴し続けてもらう
ユーザーに	視聴し続けてもらう
視聴し続けてもらう	ことだった
ことだった	推薦した
人工知能は	推薦した
ユーザーが	誤
誤	選ぶ
情報や	陰謀論
陰謀論	選ぶ
極端に	選ぶ
党派的な	コンテンツを
コンテンツを	選ぶ
選ぶ	傾向が
傾向が	ある
ある	ことを
ことを	学習し
学習し	視聴し続けてもらう
ユーザーに	視聴し続けてもらう
視聴し続けてもらう	ために
ために	推薦した
人工知能は	推薦した
それを	推薦した
推薦した	有害であった
ユーザーは	あった
同じ	テーマの
テーマの	コンテンツを
コンテンツを	見る
より	多く
多く	見る
見る	傾向も
傾向も	あった
あった	ため
ため	有害であった
人工知能は	信じ込み
ユーザーを	導き
フィルターバブルに	導き
導き	支持する
同じ	誤
誤	情報を
情報を	支持する
支持する	別の
別の	コンテンツを
コンテンツを	繰り返し
繰り返し	受け取った
受け取った	[
[	173]。これにより
173]。これにより	信じ込み
多くの	ユーザーが
ユーザーが	誤
誤	情報が
情報が	真実であると
真実であると	信じ込み
信じ込み	学習していたが
最終的には	損なわれた
企業	メディア
メディア	政府への
政府への	信頼が
信頼が	損なわれた
損なわれた	[174]。人工知能は
[174]。人工知能は	学習していたが
目標を	最大化する
最大化する	ことを
ことを	学習していたが
正しく	学習していたが
学習していたが	有害であった
その	結果は
結果は	有害であった
社会にとって	有害であった
有害であった	講じた
2016年の	米国大統領選挙後
米国大統領選挙後	講じた
ビックテックは	講じた
この	問題を
問題を	緩和する
緩和する	措置を
措置を	講じた
2022年	作成できるようになった
生成AIにより	つかない
本物または	人間の
人間の	作成した
作成した	物と
物と	つかない
区別が	つかない
つかない	画像
画像	音声
音声	動画
動画	文章を
文章を	作成できるようになった
作成できるようになった	[176]。
悪意の	ある
ある	人物が
人物が	使用して
この	技術を
技術を	使用して
使用して	作成する
大量の	プロパガンダを
誤情報や	プロパガンダを
プロパガンダを	作成する
作成する	可能性が
可能性が	ある
ある	175]。人工知能の
[	175]。人工知能の
175]。人工知能の	第一人者である
第一人者である	ジェフリーヒントンは
ジェフリーヒントンは	[176]。
人工知能によって	可能にする
権威主義的な	指導者が
指導者が	操作する
選挙民を	操作する
大規模に	操作する
操作する	ことを
ことを	可能にする
可能にする	リスクについて
リスクについて	表明した
懸念を	表明した
表明した	[176]。
2025年	1月
1月	発信した
ジョーバイデンは	発信した
退任演説で	発信した
ソーシャルメディアを	運営する
運営する	テック産業と
テック産業と	政治家が
政治家が	結託すれば
結託すれば	発信した
誤	招き
情報や	偽情報による
偽情報による	権力の
権力の	暴走を
暴走を	招き
招き	発信した
民主主義の	脅威と
脅威と	なるとの
なるとの	メッセージを
メッセージを	発信した
発信した	[177]。
特に	推進する
人工知能を	推進する
推進する	ハイテク産業複合体
ハイテク産業複合体	英語版が
英語版が	指摘した
かつて	批判した
アイゼンハワーが	批判した
批判した	軍産複合体と
軍産複合体と	もたらす
同様の	脅威を
脅威を	もたらす
もたらす	可能性を
可能性を	指摘した
指摘した	[177]。
透明性の	欠如
多くの	AIシステムは
AIシステムは	複雑である
非常に	複雑である
複雑である	ため
ため	至ったのかを
設計者は	至ったのかを
どのようにして	至ったのかを
決定に	至ったのかを
至ったのかを	説明する
説明する	ことが
ことが	できない
できない	[
[	178]。特に
178]。特に	ディープニューラルネットワークでは
ディープニューラルネットワークでは	ある
入力と	出力の
出力の	間に
間に	ある
大量の	非線形関係が
非線形関係が	ある
ある	[179]。
しかし	[179]。
一般的な	説明可能性技術も
説明可能性技術も	存在する
存在する	[179]。
プログラムが	機能するかを
どのように	機能するかを
機能するかを	知らないと
正確に	知らないと
知らないと	確認する
プログラムの	正常動作を
正常動作を	確認する
確認する	ことは
ことは	不可能である
不可能である	ある
機械学習プログラムが	合格したにもかかわらず
厳格な	テストに
テストに	合格したにもかかわらず
合格したにもかかわらず	異なる
プログラマの	意図とは
意図とは	異なる
異なる	ことを
ことを	学習した
学習した	ケースは
ケースは	ある
数多く	ある
ある	判明した
例えば	されたが
ある	人工知能システムは
人工知能システムは	識別できると
皮膚疾患を	識別できると
医療専門家よりも	識別できると
正確に	識別できると
識別できると	されたが
されたが	判明した
スケールの	含まれる
含まれる	画像を
画像を	分類する
がんと	分類する
分類する	傾向が
傾向が	強い
強い	ことが
ことが	判明した
判明した	[181]。
これは	[181]。
悪性腫瘍の	画像に
画像に	含まれている
通常	含まれている
大きさを	示す
示す	スケールが
スケールが	含まれている
含まれている	ためであった
ためであった	180]。医療資源を
[	180]。医療資源を
180]。医療資源を	配分する
効果的に	配分する
配分する	ために
ために	設計された
設計された	別の
別の	機械学習システムは
機械学習システムは	判明した
実際には	判明した
肺炎の	リスク要因である
深刻な	リスク要因である
リスク要因である	喘息に対し
喘息に対し	判明した
喘息患者を	死亡する
肺炎で	死亡する
死亡する	分類する
リスクが	低いと
低いと	分類する
分類する	ことが
ことが	判明した
判明した	判明した
これは	判明した
喘息患者は	多い
医療を	受ける
受ける	機会が
機会が	多い
多い	ため
ため	判明した
訓練データに	よると
よると	死亡する
死亡する	可能性は
可能性は	低い
比較的	低い
低い	ことが
ことが	判明した
判明した	[181]。
喘息と	肺炎死亡リスクの
肺炎死亡リスクの	低さに対する
低さに対する	相関関係は
相関関係は	[181]。
事実でも	招く
誤解を	招く
招く	ものであった
ものであった	[181]。
アルゴリズムの	決定によって
決定によって	受けた
被害を	受けた
受けた	場合には
場合には	求められている
説明を	受ける
受ける	権利が
権利が	ある
ある	182]。たとえば
[	182]。たとえば
182]。たとえば	求められている
医師は	求められている
自分が	下した
下した	決定の
決定の	背後に
背後に	ある
ある	理由を
理由を	説明する
明確かつ	完全に
完全に	説明する
説明する	ことが
ことが	求められている
求められている	明文化されていた
2016年	明文化されていた
欧州連合の	一般データ保護規則の
一般データ保護規則の	初期草案には
初期草案には	明文化されていた
この	権利の
権利の	存在が
存在が	明文化されていた
明文化されていた	指摘した
業界の	専門家は
専門家は	指摘した
これは	問題であると
解決の	見通しの
見通しの	ない
ない	未解決の
未解決の	問題であると
問題であると	指摘した
指摘した	ある
規制当局は	ある
それでも	現実であり
被害は	現実であり
現実であり	ある
問題に	ないのであれば
解決策が	ないのであれば
ないのであれば	使用すべきではないと
使用すべきではないと	主張した
主張した	[183]。国防高等研究計画局は
[183]。国防高等研究計画局は	ある
これらの	問題を
問題を	解決する
解決する	ために
ために	設立した
2014年に	設立した
XAI	人工知能プログラムを
説明可能な	人工知能プログラムを
人工知能プログラムを	設立した
設立した	[184]。透明性の
[184]。透明性の	問題には
問題には	ある
いくつかの	解決策が
解決策が	ある
ある	[188]。
SHAPは	[188]。
各特徴の	出力への
出力への	寄与を
寄与を	視覚化する
視覚化する	ことで
ことで	試みた
透明性問題の	解決を
解決を	試みた
試みた	[185]。LIMEは
[185]。LIMEは	[188]。
より	解釈可能な
単純で	解釈可能な
解釈可能な	モデルで
モデルで	近似する
モデルを	近似する
局所的に	近似する
近似する	ことが
ことが	できる
できる	186]。マルチタスク学習
[	186]。マルチタスク学習
186]。マルチタスク学習	提供する
英語版は	提供する
ターゲット分類に	加えて
加えて	提供する
多数の	出力を
出力を	提供する
提供する	[188]。
これらの	他の
他の	出力は
出力は	[188]。
開発者が	推測するのに
ネットワークが	学習したかを
何を	学習したかを
学習したかを	推測するのに
推測するのに	役立つ
役立つ	[
[	187]。逆畳み込み
187]。逆畳み込み	使用すると
ディープドリームその他の	生成方法を
生成方法を	使用すると
使用すると	[188]。
開発者は	[188]。
ニューラルネットワークの	レイヤーが
さまざまな	レイヤーが
レイヤーが	学習したかを
何を	学習したかを
学習したかを	確認し
確認し	示唆する
ネットワークが	学習しているかを
何を	学習しているかを
学習しているかを	示唆する
示唆する	出力を
出力を	生成できる
生成できる	[188]。
情報の	均質化と
均質化と	損失
創造性の	損失
AIの	過剰使用は
過剰使用は	及ぼすと
人間の	情報が
思考や	情報が
情報が	均質化し
均質化し	依存し
既存物へ	依存し
依存し	生み出す
真新しさを	生み出す
生み出す	創造性多様性個性が
創造性多様性個性が	失われ
失われ	及ぼすと
悪影響を	及ぼすと
及ぼすと	される
される	[
[	189][190]。また
189][190]。また	発生すると
企業の	採用においても
採用においても	提出する
採用応募者が	提出する
提出する	エントリーシートの
エントリーシートの	記入内容の
記入内容の	均質化が
均質化が	発生すると
AI仕様により	発生すると
発生すると	される
される	[191]。また
[191]。また	[191]。
それによって	止めて
書類選考を	止めて
止めて	面接する
応募者全員を	面接する
面接する	形式に
形式に	切り替える
切り替える	企業が
企業が	増加した
増加した	[191]。
アルゴリズムバイアスと	公平性
機械学習アプリケーションは	[195]。
バイアスを	含んだ
含んだ	データから
データから	学習すると
学習すると	[195]。
バイアスを	含む
含む	[192]。開発者は
[192]。開発者は	[195]。
バイアスの	存在に
存在に	気づかない
気づかない	可能性が
可能性が	ある
ある	193]。訓練データの
[	193]。訓練データの
193]。訓練データの	選択方法や
選択方法や	デプロイ方法によって
モデルの	デプロイ方法によって
デプロイ方法によって	発生する
バイアスが	発生する
発生する	可能性が
可能性が	ある
ある	[
[	194][192]。重大な
194][192]。重大な	害を
害を	及ぼす
及ぼす	可能性の
可能性の	ある
ある	決定を
決定を	下す
下す	ために
ために	使用される
バイアスを	含む
含む	アルゴリズムが
アルゴリズムが	使用される
使用される	場合
場合	[195]。
医療	金融
金融	人材募集
人材募集	住宅
住宅	警察など
警察など	アルゴリズムは
その	アルゴリズムは
アルゴリズムは	[195]。
差別を	引き起こす
引き起こす	可能性が
可能性が	ある
ある	[195]。
2015年	6月
6月	28日
28日	導入された
Googleフォトに	導入された
導入された	画像ラベル機能は
画像ラベル機能は	識別した
黒人の	写真を
写真を	誤って
誤って	識別した
ゴリラと	識別した
識別した	[198]。
この	システムは
システムは	[198]。
黒人の	画像が
画像が	含まれていない
ほとんど	含まれていない
含まれていない	データセットで
データセットで	訓練されていた
訓練されていた	[
[	196]、これは
196]、これは	[198]。
サンプルサイズの	不一致と
不一致と	呼ばれる
呼ばれる	問題である
問題である	[197]。Googleは
[197]。Googleは	[198]。
ゴリラの	ラベル付け自体を
ラベル付け自体を	防ぐ
防ぐ	ことで
ことで	修正した
この	問題を
問題を	修正した
修正した	[198]。
8年後の	2023年に
2023年に	なっても
なっても	[198]。
Googleフォトは	識別できず
ゴリラを	識別できず
識別できず	識別できなかった
Apple	Facebook
Facebook	Microsoft
Microsoft	Amazonの
Amazonの	同様の
同様の	プロダクトも
プロダクトも	識別できなかった
識別できなかった	[198]。
COMPASは	商用プログラムである
被告が	再犯する
再犯する	リスクを
リスクを	評価する
評価する	ために
ために	使用されている
米国の	裁判所で
裁判所で	使用されている
広く	使用されている
使用されている	商用プログラムである
商用プログラムである	発見した
2016年	発見した
プロパブリカの	ジュリア・アングウィンは
ジュリア・アングウィンは	発見した
プログラムでは	含まれていなかったにもかかわらず
被告の	人種についての
人種についての	入力値が
入力値が	含まれていなかったにもかかわらず
含まれていなかったにもかかわらず	示している
COMPASが	示している
人種的偏見を	示している
示している	ことを
